ds,y
2024-01-01,786.94
2024-01-02,926.69
2024-01-03,904.13
2024-01-04,969.19
2024-01-05,769.1
2024-01-06,815.35
2024-01-07,795.86
2024-01-08,893.1
2024-01-09,945.8
2024-01-10,901.9
2024-01-11,848.4
2024-01-12,869.38
2024-01-13,829.25
2024-01-14,805.54
2024-01-15,864.45
2024-01-16,896.68
2024-01-17,942.2
2024-01-18,761.15
2024-01-19,871.12
2024-01-20,876.58
2024-01-21,768.56
2024-01-22,907.65
2024-01-23,976.16
2024-01-24,962.2
2024-01-25,947.53
2024-01-26,911.32
2024-01-27,865.33
2024-01-28,862.28
2024-01-29,896.51
2024-01-30,990.07
2024-01-31,995.35
2024-02-01,889.99
2024-02-02,862.94
2024-02-03,874.5
2024-02-04,882.35
2024-02-05,975.46
2024-02-06,989.65
2024-02-07,1044.9
2024-02-08,998.89
2024-02-09,891.93
2024-02-10,900.87
2024-02-11,899.15
2024-02-12,1037.34
2024-02-13,1033.48
2024-02-14,1062.09
2024-02-15,973.56
2024-02-16,1006.75
2024-02-17,879.1
2024-02-18,898.72
2024-02-19,991.23
2024-02-20,1080.54
2024-02-21,1023.15
2024-02-22,1043.27
2024-02-23,1091.08
2024-02-24,904.09
2024-02-25,961.28
2024-02-26,931.33
2024-02-27,1076.86
2024-02-28,1117.84
2024-02-29,1084.09
2024-03-01,938.28
2024-03-02,1029.26
2024-03-03,1012.29
2024-03-04,1033.72
2024-03-05,1130.15
2024-03-06,1173.73
2024-03-07,1103.43
2024-03-08,987.32
2024-03-09,991.78
2024-03-10,1053.59
2024-03-11,1124.29
2024-03-12,1172.41
2024-03-13,1170.2
2024-03-14,1108.69
2024-03-15,1032.03
2024-03-16,967.8
2024-03-17,1085.74
2024-03-18,1124.76
2024-03-19,1159.04
2024-03-20,1219.93
2024-03-21,1132.16
2024-03-22,1119.51
2024-03-23,933.31
2024-03-24,1093.14
2024-03-25,1122.56
2024-03-26,1199.14
2024-03-27,1197.06
2024-03-28,1185.3
2024-03-29,1083.52
2024-03-30,1034.53
2024-03-31,3528.04
2024-04-01,1163.07
2024-04-02,1226.43
2024-04-03,1269.98
2024-04-04,1165.09
2024-04-05,1125.31
2024-04-06,1050.74
2024-04-07,1157.61
2024-04-08,1191.07
2024-04-09,1191.41
2024-04-10,1306.57
2024-04-11,1200.9
2024-04-12,1215.04
2024-04-13,1092.01
2024-04-14,1122.95
2024-04-15,1187.96
2024-04-16,1288.86
2024-04-17,1295.9
2024-04-18,1291.18
2024-04-19,1107.46
2024-04-20,1131.66
2024-04-21,1152.51
2024-04-22,1200.9
2024-04-23,1295.88
2024-04-24,1259.83
2024-04-25,1243.77
2024-04-26,1221.65
2024-04-27,1188.88
2024-04-28,1266.5
2024-04-29,1315.17
2024-04-30,1203.22
2024-05-01,1293.2
2024-05-02,1265.96
2024-05-03,1197.05
2024-05-04,1150.31
2024-05-05,1197.47
2024-05-06,1273.93
2024-05-07,1366.9
2024-05-08,1381.03
2024-05-09,1329.76
2024-05-10,1224.24
2024-05-11,1179.21
2024-05-12,1220.07
2024-05-13,1287.21
2024-05-14,1378.65
2024-05-15,1415.64
2024-05-16,1364.07
2024-05-17,1316.25
2024-05-18,1238.0
2024-05-19,1206.38
2024-05-20,1365.14
2024-05-21,1331.62
2024-05-22,1423.37
2024-05-23,1424.26
2024-05-24,1266.26
